TRACK_ID	NAME	technique	CATEGORY	institute	source	experiment	developmental-stage	tissue	condition	summary	citation	project	accession	date	analyst	SCIPRJ	ACCESS	biosample	NGS_file	MLONG	FILENAME	TRACK_PATH	ASSEMBLY_1	ASSEMBLY_2	BED1_PATH	BED2_PATH	MAF
MOLNG-1571.12.pos.bw	F-g-2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.12.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.12.pos.bw					
MOLNG-1571.14.pos.bw	F-g-3.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.14.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.14.pos.bw					
MOLNG-1571.19.neg.bw	F-g-1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.19.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.19.neg.bw					
MOLNG-1571.12.neg.bw	F-g-2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.12.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.12.neg.bw					
MOLNG-1571.14.neg.bw	F-g-3.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.14.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.14.neg.bw					
MOLNG-1571.28.pos.bw	F-mus-1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.28.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.28.pos.bw					
MOLNG-1571.21.pos.bw	F-mus-2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.21.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.21.pos.bw					
MOLNG-1571.16.pos.bw	F-mus-3.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.16.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.16.pos.bw					
MOLNG-1571.28.neg.bw	F-mus-1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.28.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.28.neg.bw					
MOLNG-1571.21.neg.bw	F-mus-2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.21.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.21.neg.bw					
