label	key	technique	category	institute	source	experiment	developmental-stage	tissue	condition	summary	citation	project	accession	date	analyst	filename	SCIPRJ	access_level	biosample	NGS_file	MLONG
MOLNG-1901.2.neg.bw	2h_a_amanitin.neg	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		2h_a_amanitin	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.2.neg.bw	[SCI-003455] Sequencing - Bazzini			n_1_CGATGT.fastq.gz	
### end																					
																					
# 4hrs a_manitin																					
## browns: 4hr wt +																					
MOLNG-1901.3.pos.bw	4h_wild_type.pos	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		4h_wild_type	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.3.pos.bw	[SCI-003455] Sequencing - Bazzini			n_1_TTAGGC.fastq.gz	
## browns: 4hr wt -																					
MOLNG-1901.3.neg.bw	4h_wild_type.neg	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		4h_wild_type	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.3.neg.bw	[SCI-003455] Sequencing - Bazzini			n_1_TTAGGC.fastq.gz	
## oranges: 4h a_amanitin +																					
MOLNG-1901.4.pos.bw	4h_a_amanitin.pos	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		4h_a_amanitin	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.4.pos.bw	[SCI-003455] Sequencing - Bazzini			n_1_TGACCA.fastq.gz	
## oranges: 4h a_amanitin -																					
MOLNG-1901.4.neg.bw	4h_a_amanitin.neg	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		4h_a_amanitin	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.4.neg.bw	[SCI-003455] Sequencing - Bazzini			n_1_TGACCA.fastq.gz	
### end																					
																					
# 6hrs a_manitin																					
## browns: 6hr wt +																					
